编号,年龄,性别,学历,国家,日均上网时长(小时),是否影响学业,日均睡眠(小时),心理健康评分,感情状况,社交媒体冲突次数,网络成瘾评分,平台_Facebook,平台_Instagram,平台_KakaoTalk,平台_LINE,平台_LinkedIn,平台_Snapchat,平台_TikTok,平台_Twitter,平台_VKontakte,平台_WeChat,平台_WhatsApp,平台_YouTube,网络成瘾_正向,网络使用深度得分,学习状态得分,身心健康得分
70,20,0,Undergraduate,Estonia,4.5,1,5.9,6,2,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.1904761904761902,0,1.9051724137931036
71,18,1,High School,Latvia,5.4,1,5.5,5,0,4,8,False,False,False,False,False,True,False,False,False,False,False,False,2,2.5,0,1.2327586206896552
72,21,0,Graduate,Lithuania,3.2,0,6.8,7,1,2,5,True,False,False,False,False,False,False,False,False,False,False,False,5,2.023809523809524,5,2.793103448275862
73,19,1,Undergraduate,Ukraine,4.9,1,5.7,6,2,3,7,False,False,False,False,False,False,True,False,False,False,False,False,3,2.2857142857142856,0,1.8189655172413794
74,20,0,Undergraduate,Moldova,5.8,1,5.3,5,0,4,8,False,True,False,False,False,False,False,False,False,False,False,False,2,2.595238095238095,0,1.146551724137931
75,23,1,Graduate,Belarus,2.5,0,7.3,8,1,1,4,False,False,False,False,True,False,False,False,False,False,False,False,6,1.761904761904762,5,3.5086206896551726
76,21,0,Undergraduate,Kazakhstan,4.6,1,5.8,6,0,3,7,False,False,False,False,False,True,False,False,False,False,False,False,3,2.214285714285714,0,1.8620689655172415
77,19,1,High School,Uzbekistan,5.5,1,5.4,5,2,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.5238095238095237,0,1.1896551724137934
78,22,0,Graduate,Kyrgyzstan,2.9,0,7.0,7,1,2,5,True,False,False,False,False,False,False,False,False,False,False,False,5,1.952380952380952,5,2.879310344827586
79,20,1,Undergraduate,Tajikistan,4.7,1,5.9,6,0,3,7,False,False,False,False,False,False,False,False,False,False,False,True,3,2.238095238095238,0,1.9051724137931036
80,18,0,High School,Armenia,5.9,1,5.2,5,2,4,9,False,True,False,False,False,False,False,False,False,False,False,False,1,2.3809523809523814,0,1.1034482758620692
81,21,1,Graduate,Georgia,3.0,0,7.1,8,1,1,4,False,False,False,False,True,False,False,False,False,False,False,False,6,1.880952380952381,5,3.4224137931034484
82,19,0,Undergraduate,Azerbaijan,4.8,1,5.7,6,0,3,7,False,False,False,False,False,False,True,False,False,False,False,False,3,2.261904761904762,0,1.8189655172413794
83,20,1,Undergraduate,Cyprus,3.8,0,6.6,7,2,2,6,True,False,False,False,False,False,False,False,False,False,False,False,4,1.9285714285714286,5,2.706896551724138
84,22,0,Graduate,Malta,2.7,0,7.2,8,1,1,4,False,False,False,False,True,False,False,False,False,False,False,False,6,1.8095238095238098,5,3.4655172413793105
85,18,1,High School,Luxembourg,5.6,1,5.3,5,0,4,8,False,False,False,False,False,True,False,False,False,False,False,False,2,2.5476190476190474,0,1.146551724137931
86,21,0,Undergraduate,Monaco,4.5,1,5.8,6,2,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.1904761904761902,0,1.8620689655172415
87,19,1,High School,Andorra,5.3,1,5.5,5,1,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.4761904761904763,0,1.2327586206896552
88,23,0,Graduate,San Marino,2.6,0,7.3,8,0,1,4,False,False,False,False,True,False,False,False,False,False,False,False,6,1.785714285714286,5,3.5086206896551726
89,20,1,Undergraduate,Vatican City,4.4,1,6.0,6,2,3,7,False,False,False,False,False,False,False,False,False,False,False,True,3,2.1666666666666665,0,1.9482758620689655
90,18,0,High School,Liechtenstein,5.8,1,5.2,5,0,4,9,False,True,False,False,False,False,False,False,False,False,False,False,1,2.3571428571428568,0,1.1034482758620692
91,22,1,Graduate,Montenegro,2.9,0,7.0,7,1,2,5,True,False,False,False,False,False,False,False,False,False,False,False,5,1.952380952380952,5,2.879310344827586
92,19,0,Undergraduate,Albania,4.7,1,5.8,6,2,3,7,False,False,False,False,False,False,True,False,False,False,False,False,3,2.238095238095238,0,1.8620689655172415
93,21,1,Undergraduate,North Macedonia,3.7,0,6.5,7,0,2,6,False,False,False,False,False,True,False,False,False,False,False,False,4,1.9047619047619049,5,2.663793103448276
94,20,0,High School,Kosovo,5.5,1,5.4,5,1,4,8,False,True,False,False,False,False,False,False,False,False,False,False,2,2.5238095238095237,0,1.1896551724137934
95,23,1,Graduate,Bosnia,2.4,0,7.4,8,2,1,4,False,False,False,False,True,False,False,False,False,False,False,False,6,1.7380952380952384,5,3.5517241379310347
96,19,0,Undergraduate,Qatar,4.9,1,5.7,6,0,3,7,False,False,False,False,False,False,True,False,False,False,False,False,3,2.2857142857142856,0,1.8189655172413794
97,18,1,High School,Kuwait,5.7,1,5.3,5,1,4,8,False,False,False,False,False,True,False,False,False,False,False,False,2,2.571428571428571,0,1.146551724137931
98,22,0,Graduate,Bahrain,2.8,0,7.1,8,2,1,4,False,False,False,False,True,False,False,False,False,False,False,False,6,1.8333333333333335,5,3.4224137931034484
99,20,1,Undergraduate,Oman,4.6,1,5.9,6,0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.214285714285714,0,1.9051724137931036
100,21,0,Undergraduate,Jordan,5.4,1,5.5,5,1,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.5,0,1.2327586206896552
101,19,1,High School,Lebanon,5.8,1,5.2,5,2,4,9,False,False,False,False,False,False,False,False,False,False,False,True,1,2.3571428571428568,0,1.1034482758620692
102,23,0,Graduate,Iraq,2.5,0,7.3,8,0,1,4,False,False,False,False,True,False,False,False,False,False,False,False,6,1.761904761904762,5,3.5086206896551726
103,20,1,Undergraduate,Yemen,4.7,1,5.8,6,1,3,7,True,False,False,False,False,False,False,False,False,False,False,False,3,2.238095238095238,0,1.8620689655172415
104,18,0,High School,Syria,5.6,1,5.4,5,0,4,8,False,True,False,False,False,False,False,False,False,False,False,False,2,2.5476190476190474,0,1.1896551724137934
105,22,1,Graduate,Afghanistan,2.9,0,7.0,7,2,2,5,False,False,False,False,True,False,False,False,False,False,False,False,5,1.952380952380952,5,2.879310344827586
106,19,0,Undergraduate,Pakistan,4.8,1,5.7,6,1,3,7,False,False,False,False,False,False,True,False,False,False,False,False,3,2.261904761904762,0,1.8189655172413794
107,21,1,Undergraduate,Nepal,3.8,0,6.6,7,0,2,6,False,False,False,False,False,False,False,False,False,False,False,True,4,1.9285714285714286,5,2.706896551724138
108,20,0,High School,Bhutan,5.5,1,5.5,5,2,4,8,False,False,False,False,False,True,False,False,False,False,False,False,2,2.5238095238095237,0,1.2327586206896552
109,23,1,Graduate,Sri Lanka,2.6,0,7.2,8,1,1,4,False,False,False,False,True,False,False,False,False,False,False,False,6,1.785714285714286,5,3.4655172413793105
110,19,0,Undergraduate,Maldives,4.9,1,5.8,6,0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.2857142857142856,0,1.8620689655172415
111,20,1,Undergraduate,Bangladesh,6.1,1,6.2,5,0,4,8,False,True,False,False,False,False,False,False,False,False,False,False,2,2.6666666666666665,0,1.53448275862069
112,21,0,Undergraduate,India,5.8,1,5.9,6,1,3,7,False,False,False,False,False,False,True,False,False,False,False,False,3,2.5,0,1.9051724137931036
113,19,1,Undergraduate,Nepal,4.9,0,7.1,7,0,2,5,True,False,False,False,False,False,False,False,False,False,False,False,5,2.428571428571429,5,2.9224137931034484
114,22,0,Graduate,Pakistan,5.5,1,6.0,5,0,4,8,False,True,False,False,False,False,False,False,False,False,False,False,2,2.5238095238095237,0,1.4482758620689657
115,20,1,Undergraduate,Sri Lanka,5.2,1,6.3,6,1,3,7,False,False,False,False,False,False,True,False,False,False,False,False,3,2.3571428571428568,0,2.0775862068965516
116,19,0,Undergraduate,Maldives,4.8,0,7.2,8,0,2,5,False,True,False,False,False,False,False,False,False,False,False,False,5,2.4047619047619047,5,3.4655172413793105
117,21,1,Graduate,Bangladesh,6.0,1,5.8,5,1,4,8,True,False,False,False,False,False,False,False,False,False,False,False,2,2.642857142857143,0,1.3620689655172413
118,20,0,Undergraduate,India,5.7,1,6.1,6,0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.4761904761904763,0,1.9913793103448274
119,22,1,Graduate,Nepal,4.7,0,7.3,7,0,2,5,False,False,False,False,False,False,True,False,False,False,False,False,5,2.380952380952381,5,3.0086206896551726
120,19,0,Undergraduate,Pakistan,5.4,1,6.2,5,1,4,8,False,True,False,False,False,False,False,False,False,False,False,False,2,2.5,0,1.53448275862069
121,20,1,Undergraduate,Sri Lanka,5.9,1,5.9,6,0,3,7,True,False,False,False,False,False,False,False,False,False,False,False,3,2.5238095238095237,0,1.9051724137931036
122,21,0,Graduate,Maldives,4.6,0,7.4,8,1,2,5,False,True,False,False,False,False,False,False,False,False,False,False,5,2.3571428571428568,5,3.5517241379310347
123,19,1,Undergraduate,Bangladesh,5.3,1,6.3,5,0,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.4761904761904763,0,1.5775862068965518
124,22,0,Graduate,India,5.8,1,5.8,6,1,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.5,0,1.8620689655172415
125,20,1,Undergraduate,Nepal,4.5,0,7.5,7,0,2,5,True,False,False,False,False,False,False,False,False,False,False,False,5,2.333333333333333,5,3.0948275862068964
126,21,0,Graduate,Pakistan,5.2,1,6.4,5,1,4,8,False,True,False,False,False,False,False,False,False,False,False,False,2,2.4523809523809526,0,1.6206896551724141
127,19,1,Undergraduate,Sri Lanka,5.7,1,5.7,6,0,3,7,False,False,False,False,False,False,True,False,False,False,False,False,3,2.4761904761904763,0,1.8189655172413794
128,20,0,Undergraduate,Maldives,4.4,0,7.6,8,1,2,5,False,True,False,False,False,False,False,False,False,False,False,False,5,2.3095238095238093,5,3.637931034482759
129,22,1,Graduate,Bangladesh,5.1,1,6.5,5,0,4,8,True,False,False,False,False,False,False,False,False,False,False,False,2,2.4285714285714284,0,1.6637931034482762
130,21,0,Graduate,India,5.6,1,5.6,6,1,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.4523809523809517,0,1.7758620689655171
131,19,1,Undergraduate,Nepal,4.3,0,7.7,7,0,2,5,False,False,False,False,False,False,True,False,False,False,False,False,5,2.2857142857142856,5,3.181034482758621
132,20,0,Undergraduate,Pakistan,5.0,1,6.6,5,1,4,8,False,True,False,False,False,False,False,False,False,False,False,False,2,2.4047619047619047,0,1.706896551724138
133,22,1,Graduate,Sri Lanka,5.5,1,5.5,6,0,3,7,True,False,False,False,False,False,False,False,False,False,False,False,3,2.428571428571428,0,1.7327586206896552
134,21,0,Graduate,Maldives,4.2,0,7.8,8,1,2,5,False,True,False,False,False,False,False,False,False,False,False,False,5,2.261904761904762,5,3.724137931034483
135,19,1,Undergraduate,Bangladesh,4.9,1,6.7,5,0,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.380952380952381,0,1.7500000000000004
136,20,0,Undergraduate,India,5.4,1,5.4,6,1,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.404761904761904,0,1.6896551724137934
137,22,1,Graduate,Nepal,4.1,0,7.9,7,0,2,5,True,False,False,False,False,False,False,False,False,False,False,False,5,2.238095238095238,5,3.267241379310345
138,21,0,Graduate,Pakistan,4.8,1,6.8,5,1,4,8,False,True,False,False,False,False,False,False,False,False,False,False,2,2.3571428571428568,0,1.7931034482758623
139,19,1,Undergraduate,Sri Lanka,5.3,1,5.3,6,0,3,7,False,False,False,False,False,False,True,False,False,False,False,False,3,2.3809523809523805,0,1.6465517241379313
140,20,0,Undergraduate,Maldives,4.0,0,8.0,8,1,2,5,False,True,False,False,False,False,False,False,False,False,False,False,5,2.2142857142857144,5,3.8103448275862073
141,22,1,Graduate,Bangladesh,4.7,1,6.9,5,0,4,8,True,False,False,False,False,False,False,False,False,False,False,False,2,2.333333333333333,0,1.8362068965517242
142,21,0,Graduate,India,5.2,1,5.2,6,1,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.3571428571428568,0,1.6034482758620692
143,19,1,Undergraduate,Nepal,3.9,0,8.1,7,0,2,5,False,False,False,False,False,False,True,False,False,False,False,False,5,2.1904761904761907,5,3.3534482758620685
144,20,0,Undergraduate,Pakistan,4.6,1,7.0,5,1,4,8,False,True,False,False,False,False,False,False,False,False,False,False,2,2.3095238095238093,0,1.879310344827586
145,22,1,Graduate,Sri Lanka,5.1,1,5.1,6,0,3,7,True,False,False,False,False,False,False,False,False,False,False,False,3,2.333333333333333,0,1.5603448275862069
146,21,0,Graduate,Maldives,3.8,0,8.2,8,1,2,5,False,True,False,False,False,False,False,False,False,False,False,False,5,2.166666666666667,5,3.896551724137931
147,19,1,Undergraduate,Bangladesh,4.5,1,7.1,5,0,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.2857142857142856,0,1.9224137931034484
148,20,0,Undergraduate,India,5.0,1,5.0,6,1,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.3095238095238093,0,1.5172413793103452
149,22,1,Graduate,Nepal,3.7,0,8.3,7,0,2,5,True,False,False,False,False,False,False,False,False,False,False,False,5,2.1428571428571432,5,3.4396551724137936
150,21,0,Graduate,Pakistan,4.4,1,7.2,5,1,4,8,False,True,False,False,False,False,False,False,False,False,False,False,2,2.261904761904762,0,1.9655172413793105
151,19,1,Undergraduate,Sri Lanka,4.9,1,4.9,6,0,3,7,False,False,False,False,False,False,True,False,False,False,False,False,3,2.2857142857142856,0,1.474137931034483
152,20,0,Undergraduate,Maldives,3.6,0,8.4,8,1,2,5,False,True,False,False,False,False,False,False,False,False,False,False,5,2.119047619047619,5,3.9827586206896557
153,22,1,Graduate,Bangladesh,4.3,1,7.3,5,0,4,8,True,False,False,False,False,False,False,False,False,False,False,False,2,2.238095238095238,0,2.008620689655172
154,21,0,Graduate,India,4.8,1,4.8,6,1,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.261904761904762,0,1.4310344827586208
155,19,1,Undergraduate,Nepal,3.5,0,8.5,7,0,2,5,False,False,False,False,False,False,True,False,False,False,False,False,5,2.0952380952380953,5,3.5258620689655173
156,20,0,Undergraduate,Pakistan,4.2,1,7.4,5,1,4,8,False,True,False,False,False,False,False,False,False,False,False,False,2,2.2142857142857144,0,2.0517241379310347
157,22,1,Graduate,Sri Lanka,4.7,1,4.7,6,0,3,7,True,False,False,False,False,False,False,False,False,False,False,False,3,2.238095238095238,0,1.387931034482759
158,21,0,Graduate,Maldives,3.4,0,8.6,8,1,2,5,False,True,False,False,False,False,False,False,False,False,False,False,5,2.0714285714285716,5,4.06896551724138
159,19,1,Undergraduate,Bangladesh,4.1,1,7.5,5,0,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.1904761904761907,0,2.094827586206897
160,20,0,Undergraduate,India,4.6,1,4.6,6,1,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.214285714285714,0,1.3448275862068964
161,19,0,Undergraduate,Bangladesh,5.3,1,6.1,5,0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.3809523809523805,0,1.4913793103448274
162,21,1,Graduate,India,4.8,0,7.2,7,1,2,6,True,False,False,False,False,False,False,False,False,False,False,False,4,2.166666666666667,5,2.9655172413793105
163,20,0,Undergraduate,Nepal,5.5,1,5.9,6,0,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.5238095238095237,0,1.9051724137931036
164,22,1,Graduate,Pakistan,4.7,1,6.3,5,1,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.238095238095238,0,1.5775862068965518
165,19,0,Undergraduate,Sri Lanka,5.1,0,7.0,7,0,2,5,True,False,False,False,False,False,False,False,False,False,False,False,5,2.4761904761904763,5,2.879310344827586
166,21,1,Graduate,Maldives,5.4,1,6.0,6,1,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.5,0,1.9482758620689655
167,20,0,Undergraduate,Bangladesh,4.9,1,6.4,5,0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,3,2.2857142857142856,0,1.6206896551724141
168,22,1,Graduate,India,5.2,0,7.1,7,1,2,6,True,False,False,False,False,False,False,False,False,False,False,False,4,2.261904761904762,5,2.9224137931034484
169,19,0,Undergraduate,Nepal,5.6,1,5.8,6,0,4,8,False,False,False,False,False,False,True,False,False,False,False,False,2,2.5476190476190474,0,1.8620689655172415
