date,production_10k,year,month,quarter,production_missing_flag,production_filled_10k,production_before_cap_10k,production_yoy,production_level,month_name
2013-05-01,105.2,2013,5,2,0,105.2,105.2,0.1348,高产量,05月
2013-06-01,103.7,2013,6,2,0,103.7,103.7,0.1471,高产量,06月
2013-07-01,98.5,2013,7,3,0,98.5,98.5,0.1427,中高产量,07月
2013-08-01,102.3,2013,8,3,0,102.3,102.3,0.1456,中高产量,08月
2013-09-01,113.8,2013,9,3,0,113.8,113.8,0.1357,高产量,09月
2013-10-01,115.6,2013,10,4,0,115.6,115.6,0.2377,高产量,10月
2013-11-01,127.1,2013,11,4,0,127.1,127.1,0.234,高产量,11月
2013-12-01,127.1,2013,12,4,0,127.1,127.1,0.2128,高产量,12月
2014-01-01,96.3,2014,1,1,1,96.3,96.30000000000001,0.0,中高产量,01月
2014-02-01,74.9,2014,2,1,1,74.9,74.9,0.0,低产量,02月
2014-03-01,120.7,2014,3,1,0,120.7,120.7,0.0551,高产量,03月
2014-04-01,114.7,2014,4,2,0,114.7,114.7,0.0456,高产量,04月
2014-05-01,114.2,2014,5,2,0,114.2,114.2,0.0856,高产量,05月
2014-06-01,110.2,2014,6,2,0,110.2,110.2,0.0627,高产量,06月
2014-07-01,102.1,2014,7,3,0,102.1,102.1,0.0365,中高产量,07月
2014-08-01,101.5,2014,8,3,0,101.5,101.5,-0.0078,中高产量,08月
2014-09-01,117.5,2014,9,3,0,117.5,117.5,0.0325,高产量,09月
2014-10-01,117.4,2014,10,4,0,117.4,117.4,0.0156,高产量,10月
2014-11-01,118.5,2014,11,4,0,118.5,118.5,-0.0677,高产量,11月
2014-12-01,114.1,2014,12,4,0,114.1,114.1,-0.1023,高产量,12月
2015-01-01,96.3,2015,1,1,1,96.3,96.30000000000001,0.0,中高产量,01月
2015-02-01,83.2,2015,2,1,0,83.2,83.2,0.1108,低产量,02月
2015-03-01,115.0,2015,3,1,0,115.0,115.0,-0.0472,高产量,03月
2015-04-01,96.6,2015,4,2,0,96.6,96.6,-0.1578,中高产量,04月
2015-05-01,91.7,2015,5,2,0,91.7,91.7,-0.197,中低产量,05月
2015-06-01,92.5,2015,6,2,0,92.5,92.5,-0.1606,中低产量,06月
2015-07-01,70.8,2015,7,3,0,70.8,70.8,-0.3066,低产量,07月
2015-08-01,72.9,2015,8,3,0,72.9,72.9,-0.2818,低产量,08月
2015-09-01,86.9,2015,9,3,0,86.9,86.9,-0.2604,中低产量,09月
2015-10-01,103.2,2015,10,4,0,103.2,103.2,-0.121,高产量,10月
2015-11-01,119.7,2015,11,4,0,119.7,119.7,0.0101,高产量,11月
2015-12-01,121.4,2015,12,4,0,121.4,121.4,0.064,高产量,12月
2016-01-01,96.3,2016,1,1,1,96.3,96.30000000000001,0.0,中高产量,01月
2016-02-01,74.9,2016,2,1,1,74.9,74.9,-0.0998,低产量,02月
2016-03-01,109.2,2016,3,1,0,109.2,109.2,-0.0504,高产量,03月
2016-04-01,93.7,2016,4,2,0,93.7,93.7,-0.03,中低产量,04月
2016-05-01,90.3,2016,5,2,0,90.3,90.3,-0.0153,中低产量,05月
2016-06-01,92.1,2016,6,2,0,92.1,92.1,-0.0043,中低产量,06月
2016-07-01,89.4,2016,7,3,0,89.4,89.4,0.2627,中低产量,07月
2016-08-01,90.1,2016,8,3,0,90.1,90.1,0.2359,中低产量,08月
2016-09-01,113.0,2016,9,3,0,113.0,113.0,0.3003,高产量,09月
2016-10-01,102.7,2016,10,4,0,102.7,102.7,-0.0048,中高产量,10月
2016-11-01,128.1,2016,11,4,0,128.1,128.1,0.0702,高产量,11月
2016-12-01,124.2,2016,12,4,0,124.2,124.2,0.0231,高产量,12月
2017-01-01,96.3,2017,1,1,1,96.3,96.30000000000001,0.0,中高产量,01月
2017-02-01,74.9,2017,2,1,1,74.9,74.9,0.0,低产量,02月
2017-03-01,105.7,2017,3,1,0,105.7,105.7,-0.0321,高产量,03月
2017-04-01,86.0,2017,4,2,0,86.0,86.0,-0.0822,中低产量,04月
2017-05-01,85.5,2017,5,2,0,85.5,85.5,-0.0532,中低产量,05月
2017-06-01,90.5,2017,6,2,0,90.5,90.5,-0.0174,中低产量,06月
2017-07-01,86.6,2017,7,3,0,86.6,86.6,-0.0313,中低产量,07月
2017-08-01,89.2,2017,8,3,0,89.2,89.2,-0.01,中低产量,08月
2017-09-01,119.0,2017,9,3,0,119.0,119.0,0.0531,高产量,09月
2017-10-01,104.8,2017,10,4,0,104.8,104.8,0.0204,高产量,10月
2017-11-01,126.8,2017,11,4,0,126.8,126.8,-0.0101,高产量,11月
2017-12-01,125.3,2017,12,4,0,125.3,125.3,0.0089,高产量,12月
2018-01-01,96.3,2018,1,1,1,96.3,96.30000000000001,0.0,中高产量,01月
2018-02-01,74.9,2018,2,1,1,74.9,74.9,0.0,低产量,02月
2018-03-01,103.7,2018,3,1,0,103.7,103.7,-0.0189,高产量,03月
2018-04-01,100.2,2018,4,2,0,100.2,100.2,0.1651,中高产量,04月
2018-05-01,103.9,2018,5,2,0,103.9,103.9,0.2152,高产量,05月
2018-06-01,100.2,2018,6,2,0,100.2,100.2,0.1072,中高产量,06月
2018-07-01,90.4,2018,7,3,0,90.4,90.4,0.0439,中低产量,07月
2018-08-01,88.3,2018,8,3,0,88.3,88.3,-0.0101,中低产量,08月
2018-09-01,102.8,2018,9,3,0,102.8,102.8,-0.1361,中高产量,09月
2018-10-01,97.9,2018,10,4,0,97.9,97.9,-0.0658,中高产量,10月
2018-11-01,104.2,2018,11,4,0,104.2,104.2,-0.1782,高产量,11月
2018-12-01,103.0,2018,12,4,0,103.0,103.0,-0.178,中高产量,12月
2019-01-01,96.3,2019,1,1,1,96.3,96.30000000000001,0.0,中高产量,01月
2019-02-01,74.9,2019,2,1,1,74.9,74.9,0.0,低产量,02月
2019-03-01,98.8,2019,3,1,0,98.8,98.8,-0.0473,中高产量,03月
2019-04-01,79.7,2019,4,2,0,79.7,79.7,-0.2046,低产量,04月
2019-05-01,77.3,2019,5,2,0,77.3,77.3,-0.256,低产量,05月
2019-06-01,81.9,2019,6,2,0,81.9,81.9,-0.1826,低产量,06月
2019-07-01,74.6,2019,7,3,0,74.6,74.6,-0.1748,低产量,07月
2019-08-01,80.9,2019,8,3,0,80.9,80.9,-0.0838,低产量,08月
2019-09-01,89.8,2019,9,3,0,89.8,89.8,-0.1265,中低产量,09月
2019-10-01,89.9,2019,10,4,0,89.9,89.9,-0.0817,中低产量,10月
2019-11-01,100.5,2019,11,4,0,100.5,100.5,-0.0355,中高产量,11月
2019-12-01,97.3,2019,12,4,0,97.3,97.3,-0.0553,中高产量,12月
2020-01-01,96.3,2020,1,1,1,96.3,96.30000000000001,0.0,中高产量,01月
2020-02-01,74.9,2020,2,1,1,74.9,74.9,0.0,低产量,02月
2020-03-01,54.6,2020,3,1,0,54.6,54.6,-0.4474,低产量,03月
2020-04-01,78.2,2020,4,2,0,78.2,78.2,-0.0188,低产量,04月
2020-05-01,78.6,2020,5,2,0,78.6,78.6,0.0168,低产量,05月
2020-06-01,86.0,2020,6,2,0,86.0,86.0,0.0501,中低产量,06月
2020-07-01,82.5,2020,7,3,0,82.5,82.5,0.1059,低产量,07月
2020-08-01,79.3,2020,8,3,0,79.3,79.3,-0.0198,低产量,08月
2020-09-01,92.5,2020,9,3,0,92.5,92.5,0.0301,中低产量,09月
2020-10-01,96.4,2020,10,4,0,96.4,96.4,0.0723,中高产量,10月
2020-11-01,106.3,2020,11,4,0,106.3,106.3,0.0577,高产量,11月
2020-12-01,106.2,2020,12,4,0,106.2,106.2,0.0915,高产量,12月
2021-01-01,96.3,2021,1,1,1,96.3,96.30000000000001,0.0,中高产量,01月
2021-02-01,74.9,2021,2,1,1,74.9,74.9,0.0,低产量,02月
2021-03-01,87.5,2021,3,1,0,87.5,87.5,0.6026,中低产量,03月
2021-04-01,74.0,2021,4,2,0,74.0,74.0,-0.0537,低产量,04月
2021-05-01,78.0,2021,5,2,0,78.0,78.0,-0.0076,低产量,05月
2021-06-01,74.3,2021,6,2,0,74.3,74.3,-0.136,低产量,06月
2021-07-01,70.6,2021,7,3,0,70.6,70.6,-0.1442,低产量,07月
2021-08-01,70.6,2021,8,3,0,70.6,70.6,-0.1097,低产量,08月
2021-09-01,82.5,2021,9,3,0,82.5,82.5,-0.1081,低产量,09月
2021-10-01,87.6,2021,10,4,0,87.6,87.6,-0.0913,中低产量,10月
2021-11-01,99.3,2021,11,4,0,99.3,99.3,-0.0659,中高产量,11月
2021-12-01,113.5,2021,12,4,0,113.5,113.5,0.0687,高产量,12月
2022-01-01,96.3,2022,1,1,1,96.3,96.30000000000001,0.0,中高产量,01月
2022-02-01,74.9,2022,2,1,1,74.9,74.9,0.0,低产量,02月
2022-03-01,83.7,2022,3,1,0,83.7,83.7,-0.0434,中低产量,03月
2022-04-01,41.5,2022,4,2,0,54.6,41.5,-0.2622,低产量,04月
2022-05-01,75.8,2022,5,2,0,75.8,75.8,-0.0282,低产量,05月
2022-06-01,101.5,2022,6,2,0,101.5,101.5,0.3661,中高产量,06月
2022-07-01,96.2,2022,7,3,0,96.2,96.2,0.3626,中低产量,07月
2022-08-01,94.9,2022,8,3,0,94.9,94.9,0.3442,中低产量,08月
2022-09-01,106.8,2022,9,3,0,106.8,106.8,0.2945,高产量,09月
2022-10-01,97.5,2022,10,4,0,97.5,97.5,0.113,中高产量,10月
2022-11-01,92.8,2022,11,4,0,92.8,92.8,-0.0655,中低产量,11月
2022-12-01,97.3,2022,12,4,0,97.3,97.3,-0.1427,中高产量,12月
2023-01-01,96.3,2023,1,1,1,96.3,96.30000000000001,0.0,中高产量,01月
2023-02-01,74.9,2023,2,1,1,74.9,74.9,0.0,低产量,02月
2023-03-01,88.7,2023,3,1,0,88.7,88.7,0.0597,中低产量,03月
2023-04-01,72.7,2023,4,2,0,72.7,72.7,0.3315,低产量,04月
2023-05-01,84.7,2023,5,2,0,84.7,84.7,0.1174,中低产量,05月
2023-06-01,90.3,2023,6,2,0,90.3,90.3,-0.1103,中低产量,06月
2023-07-01,82.5,2023,7,3,0,82.5,82.5,-0.1424,低产量,07月
2023-08-01,92.5,2023,8,3,0,92.5,92.5,-0.0253,中低产量,08月
2023-09-01,101.1,2023,9,3,0,101.1,101.1,-0.0534,中高产量,09月
2023-10-01,96.4,2023,10,4,0,96.4,96.4,-0.0113,中高产量,10月
2023-11-01,102.1,2023,11,4,0,102.1,102.1,0.1002,中高产量,11月
2023-12-01,111.3,2023,12,4,0,111.3,111.3,0.1439,高产量,12月
2024-01-01,96.3,2024,1,1,1,96.3,96.30000000000001,0.0,中高产量,01月
2024-02-01,74.9,2024,2,1,1,74.9,74.9,0.0,低产量,02月
2024-03-01,92.2,2024,3,1,0,92.2,92.2,0.0395,中低产量,03月
2024-04-01,86.1,2024,4,2,0,86.1,86.1,0.1843,中低产量,04月
2024-05-01,83.8,2024,5,2,0,83.8,83.8,-0.0106,中低产量,05月
2024-06-01,95.4,2024,6,2,0,95.4,95.4,0.0565,中低产量,06月
2024-07-01,82.5,2024,7,3,0,82.5,82.5,0.0,低产量,07月
2024-08-01,88.5,2024,8,3,0,88.5,88.5,-0.0432,中低产量,08月
2024-09-01,97.9,2024,9,3,0,97.9,97.9,-0.0317,中高产量,09月
2024-10-01,99.4,2024,10,4,0,99.4,99.4,0.0311,中高产量,10月
2024-11-01,117.1,2024,11,4,0,117.1,117.1,0.1469,高产量,11月
2024-12-01,118.9,2024,12,4,0,118.9,118.9,0.0683,高产量,12月
2025-01-01,96.3,2025,1,1,1,96.3,96.30000000000001,0.0,中高产量,01月
2025-02-01,74.9,2025,2,1,1,74.9,74.9,0.0,低产量,02月
2025-03-01,115.8,2025,3,1,0,115.8,115.8,0.256,高产量,03月
2025-04-01,100.3,2025,4,2,0,100.3,100.3,0.1649,中高产量,04月
2025-05-01,100.7,2025,5,2,0,100.7,100.7,0.2017,中高产量,05月
2025-06-01,104.6,2025,6,2,0,104.6,104.6,0.0964,高产量,06月
2025-07-01,96.6,2025,7,3,0,96.6,96.6,0.1709,中高产量,07月
2025-08-01,107.9,2025,8,3,0,107.9,107.9,0.2192,高产量,08月
2025-09-01,125.9,2025,9,3,0,125.9,125.9,0.286,高产量,09月
2025-10-01,124.6,2025,10,4,0,124.6,124.6,0.2535,高产量,10月
2025-11-01,133.1,2025,11,4,0,132.2,133.1,0.1289,高产量,11月
2025-12-01,122.1,2025,12,4,0,122.1,122.1,0.0269,高产量,12月
